 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,560.883,571.018,47.438,150.311,559.291,21.638,26.406,54.279,52.947,13.488,74.715,0.312,3.926,0.255,0.719
2,1461.792,533.313,91.188,325.324,513.814,52.812,42.910,79.218,65.775,28.297,86.786,0.174,2.324,0.430,0.577
3,4336.416,129.634,180.188,1040.397,22.372,88.020,185.941,156.235,94.624,58.350,131.438,0.050,1.622,0.617,0.261
4,1771.152,384.451,183.143,460.830,304.768,159.535,144.866,51.711,116.170,19.412,167.645,0.105,5.984,0.167,0.516
5,1230.579,407.408,246.424,393.569,337.042,189.609,126.528,119.927,149.506,10.480,44.369,0.100,14.266,0.070,0.468
6,215.879,527.684,274.158,89.133,518.215,262.592,16.870,23.472,22.409,12.266,71.253,0.341,1.827,0.547,0.751
7,1128.759,246.078,291.598,267.007,218.582,262.958,61.247,64.548,65.739,21.862,134.220,0.199,3.007,0.333,0.546
8,433.104,461.740,302.609,131.670,437.164,288.264,45.477,26.406,45.257,12.185,27.237,0.314,3.714,0.269,0.730
9,1500.395,188.737,334.150,370.632,127.262,314.670,108.191,55.746,67.061,28.487,171.817,0.137,2.354,0.425,0.448
10,654.229,552.402,356.327,164.085,530.685,336.675,43.643,37.042,46.627,17.865,145.986,0.305,2.610,0.383,0.662
11,383.068,510.082,375.540,118.866,498.044,355.746,19.071,43.276,33.711,14.468,94.774,0.341,2.330,0.429,0.733
12,177.949,351.003,419.816,92.927,342.176,410.758,17.971,18.337,15.686,14.444,158.961,0.259,1.086,0.921,0.682
13,1185.924,459.936,487.990,231.146,442.665,445.599,34.841,69.682,57.448,26.284,96.267,0.279,2.186,0.458,0.651
14,584.690,215.465,533.194,147.807,187.042,520.782,54.279,23.105,55.729,13.358,15.567,0.336,4.172,0.240,0.738
15,530.216,539.597,545.652,123.549,525.550,527.017,30.807,36.675,35.010,19.283,121.363,0.436,1.816,0.551,0.774
