 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,413.869,275.831,35.572,96.698,262.225,21.271,25.306,26.773,27.717,19.012,141.369,0.556,1.458,0.686,0.878
2,410.507,474.729,41.579,95.824,464.303,26.406,21.271,28.240,27.960,18.694,106.871,0.562,1.496,0.669,0.875
3,343.793,346.245,63.334,77.901,333.741,53.912,24.572,19.804,24.780,17.665,164.273,0.712,1.403,0.713,0.904
4,624.503,534.033,104.827,130.114,520.416,83.985,24.939,48.411,40.016,19.870,106.464,0.464,2.014,0.497,0.840
5,1878.486,436.286,121.308,374.330,406.724,93.154,78.484,57.213,58.771,40.696,149.775,0.168,1.444,0.692,0.701
6,465.654,301.668,113.583,114.103,286.797,101.589,29.340,24.939,27.578,21.498,13.061,0.449,1.283,0.780,0.796
7,790.347,132.500,127.645,179.466,114.792,106.357,39.976,42.543,44.402,22.663,44.808,0.308,1.959,0.510,0.733
8,128.586,513.396,145.643,43.485,506.479,139.731,13.936,11.736,13.981,11.710,179.159,0.855,1.194,0.838,0.947
9,379.705,485.568,186.784,81.405,472.372,176.773,27.139,20.171,26.168,18.475,162.877,0.720,1.416,0.706,0.929
10,2434.392,404.292,240.898,426.024,361.247,201.711,73.350,85.086,62.639,49.483,68.171,0.169,1.266,0.790,0.646
11,616.971,331.922,236.795,105.715,319.438,220.049,25.672,33.374,31.900,24.625,72.433,0.694,1.295,0.772,0.924
12,596.661,31.673,244.993,95.483,18.704,230.318,26.039,31.174,32.454,23.408,119.090,0.822,1.386,0.721,0.968
13,139.750,277.192,267.074,68.402,267.359,262.225,21.271,9.535,20.000,8.897,179.078,0.375,2.248,0.445,0.834
14,1427.762,413.110,316.983,297.467,392.787,279.829,41.076,76.650,75.238,24.162,84.776,0.203,3.114,0.321,0.582
15,797.341,106.721,338.094,128.091,87.286,322.738,39.242,32.274,35.919,28.263,32.297,0.611,1.271,0.787,0.893
16,384.279,196.219,339.609,146.318,185.208,325.672,22.372,26.773,24.940,19.618,89.268,0.226,1.271,0.787,0.849
17,135.311,475.204,441.023,58.851,469.438,428.362,10.269,22.372,23.084,7.463,81.333,0.491,3.093,0.323,0.817
18,1201.392,76.254,452.074,256.465,44.010,430.196,63.081,48.044,55.529,27.547,141.266,0.230,2.016,0.496,0.652
19,390.331,225.630,443.642,82.265,214.548,431.296,22.738,24.205,24.504,20.282,136.850,0.725,1.208,0.828,0.901
