 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,687.720,532.907,79.195,141.635,520.782,54.645,23.105,45.844,42.439,20.633,78.089,0.431,2.057,0.486,0.821
2,1230.310,386.689,165.480,285.973,337.775,147.800,100.122,39.609,65.097,24.064,167.443,0.189,2.705,0.370,0.588
3,557.116,148.029,173.761,118.949,132.029,157.702,30.073,30.440,28.395,24.981,132.243,0.495,1.137,0.880,0.835
4,770.978,426.024,211.202,212.262,393.154,180.073,61.247,64.548,71.315,13.765,45.505,0.215,5.181,0.193,0.587
5,315.950,232.129,254.695,71.388,221.883,244.254,20.171,22.372,21.503,18.708,110.459,0.779,1.149,0.870,0.890
6,386.565,532.386,260.323,120.327,517.115,247.555,28.973,23.472,27.432,17.942,150.586,0.336,1.529,0.654,0.772
7,581.327,468.578,277.473,140.109,450.367,258.924,31.907,33.741,38.123,19.416,52.787,0.372,1.964,0.509,0.824
8,383.337,263.733,288.728,88.918,250.122,279.095,29.707,21.638,24.485,19.934,4.068,0.609,1.228,0.814,0.858
9,857.868,182.154,312.203,203.027,141.932,300.000,77.751,27.506,53.199,20.532,8.297,0.262,2.591,0.386,0.684
10,872.529,556.528,334.927,223.464,537.286,311.369,38.875,46.210,43.928,25.290,126.433,0.220,1.737,0.576,0.790
11,441.846,513.042,354.457,93.408,502.445,339.242,20.538,32.641,31.614,17.795,86.101,0.636,1.777,0.563,0.898
12,262.956,362.106,392.899,111.028,351.345,383.619,21.638,18.704,20.039,16.708,13.930,0.268,1.199,0.834,0.821
13,270.488,460.595,457.639,67.669,452.567,444.866,16.137,23.472,21.729,15.849,82.045,0.742,1.371,0.729,0.931
14,244.663,476.952,476.510,62.519,469.071,467.237,15.770,19.438,19.609,15.886,91.899,0.787,1.234,0.810,0.934
15,309.225,460.009,479.751,70.262,450.367,469.071,18.704,21.638,20.855,18.879,99.914,0.787,1.105,0.905,0.921
16,587.514,216.753,512.654,140.739,196.210,496.210,36.308,33.007,30.058,24.887,139.189,0.373,1.208,0.828,0.729
17,424.092,540.067,525.028,116.948,527.017,509.413,27.139,29.707,23.890,22.602,144.571,0.390,1.057,0.946,0.775
