 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,715.428,532.975,78.975,150.400,520.782,50.978,23.105,49.511,43.650,20.868,78.094,0.397,2.092,0.478,0.810
2,1321.773,386.833,165.382,316.722,337.775,144.132,101.589,43.276,68.729,24.487,167.205,0.166,2.807,0.356,0.572
3,904.003,148.768,175.196,137.805,130.562,157.335,36.308,35.941,34.414,33.446,146.064,0.598,1.029,0.972,0.883
4,806.218,426.001,211.028,213.121,393.154,180.073,61.247,64.914,71.341,14.389,45.631,0.223,4.958,0.202,0.597
5,365.179,231.962,255.109,71.603,221.516,243.888,20.538,23.105,23.070,20.154,108.122,0.895,1.145,0.874,0.963
6,454.490,531.064,259.882,134.189,514.914,247.555,31.540,23.472,30.289,19.105,154.049,0.317,1.585,0.631,0.818
7,613.608,468.565,277.621,134.656,450.367,258.557,32.274,34.474,38.889,20.090,53.493,0.425,1.936,0.517,0.844
8,422.074,263.805,288.846,87.844,249.756,278.729,30.440,22.005,25.742,20.876,7.316,0.687,1.233,0.811,0.895
9,895.664,182.220,312.195,208.644,141.565,299.633,79.584,28.240,54.862,20.787,8.476,0.259,2.639,0.379,0.686
10,915.032,556.527,334.884,187.084,537.286,311.002,39.242,46.577,44.766,26.026,125.681,0.329,1.720,0.581,0.812
11,464.847,513.181,354.352,98.684,502.078,338.875,21.271,33.007,32.179,18.393,85.882,0.600,1.750,0.572,0.913
12,349.307,361.710,394.676,74.537,350.978,383.619,22.005,22.738,22.241,19.997,50.459,0.790,1.112,0.899,0.870
13,993.986,465.448,471.282,190.840,449.267,444.132,35.941,46.944,41.024,30.849,109.354,0.343,1.330,0.752,0.850
14,610.515,216.683,512.681,139.916,195.844,496.210,36.675,33.007,30.593,25.409,141.858,0.392,1.204,0.831,0.746
15,452.607,540.071,525.375,117.985,526.650,509.046,28.606,31.174,24.880,23.163,139.673,0.409,1.074,0.931,0.782
